src,dst,spec,core_src,core_dst,#core,used_slot,tfk_slot
51,84,24.0,0,0,1,25,24.0
51,93,64.0,0,2,1,7,6.0
51,97,55.0,1,1,2,9,16.0
52,28,53.0,2,0,1,2,1.0
52,57,64.0,0,1,1,16,15.0
53,0,27.0,0,1,2,2,1.0
53,10,29.0,1,2,1,21,20.0
53,13,0.0,0,2,1,13,12.0
53,35,11.0,2,2,1,19,18.0
53,56,54.0,2,2,1,2,1.0
53,57,13.0,0,0,1,4,3.0
53,61,54.0,1,2,1,11,10.0
53,63,29.0,0,0,1,19,18.0
53,73,3.0,2,2,1,8,7.0
53,80,57.0,2,2,1,21,20.0
53,83,61.0,0,2,1,16,15.0
53,88,70.0,1,0,1,3,2.0
53,92,77.0,0,0,1,3,2.0
53,98,10.0,1,2,1,15,14.0
54,20,63.0,0,2,1,17,16.0
54,55,27.0,1,0,1,11,10.0
54,69,28.0,0,1,1,21,20.0
54,83,77.0,2,2,1,3,2.0
54,98,66.0,1,0,1,13,12.0
55,95,78.0,1,1,2,2,1.0
56,9,5.0,1,1,1,18,17.0
56,16,43.0,1,2,1,8,7.0
56,18,78.0,0,2,1,2,1.0
56,25,4.0,0,1,1,10,9.0
56,36,41.0,0,1,1,6,5.0
56,69,15.0,2,0,1,13,12.0
56,96,63.0,0,1,1,15,14.0
57,21,9.0,2,2,1,6,5.0
57,22,15.0,2,1,1,22,21.0
57,26,45.0,0,1,1,6,5.0
57,28,49.0,2,2,1,26,25.0
57,52,38.0,2,2,1,11,10.0
57,58,60.0,0,1,2,4,6.0
57,68,0.0,2,1,1,4,3.0
57,72,8.0,1,1,1,15,14.0
57,74,42.0,1,2,1,9,8.0
57,81,51.0,1,1,1,6,5.0
57,88,20.0,0,0,1,3,2.0
58,4,34.0,0,0,3,2,1.0
58,8,6.0,2,2,1,23,22.0
58,14,36.0,1,2,1,2,1.0
58,35,30.0,1,1,2,2,1.0
58,40,48.0,0,1,1,17,16.0
58,45,2.0,0,2,1,17,16.0
58,50,68.0,0,1,1,10,9.0
58,68,78.0,0,2,1,2,1.0
58,69,0.0,1,1,1,2,1.0
58,80,39.0,0,1,1,9,8.0
58,92,67.0,2,1,1,11,10.0
